"stu_start_term","cohort","enterTermNumber","expect4year","expect6year","expect8year"
"1970F","1970-1971",1,8,12,16
"1971S","1970-1971",2,8,12,16
"1971F","1971-1972",3,10,14,18
"1972S","1971-1972",4,10,14,18
"1972F","1972-1973",5,12,16,20
"1973S","1972-1973",6,12,16,20
"1973F","1973-1974",7,14,18,22
"1974S","1973-1974",8,14,18,22
"1974F","1974-1975",9,16,20,24
"1975S","1974-1975",10,16,20,24
"1975F","1975-1976",11,18,22,26
"1976S","1975-1976",12,18,22,26
"1976F","1976-1977",13,20,24,28
"1977S","1976-1977",14,20,24,28
"1977F","1977-1978",15,22,26,30
"1978S","1977-1978",16,22,26,30
"1978F","1978-1979",17,24,28,32
"1979S","1978-1979",18,24,28,32
"1979F","1979-1980",19,26,30,34
"1980S","1979-1980",20,26,30,34
"1980F","1980-1981",21,28,32,36
"1981S","1980-1981",22,28,32,36
"1981F","1981-1982",23,30,34,38
"1982S","1981-1982",24,30,34,38
"1982F","1982-1983",25,32,36,40
"1983S","1982-1983",26,32,36,40
"1983F","1983-1984",27,34,38,42
"1984S","1983-1984",28,34,38,42
"1984F","1984-1985",29,36,40,44
"1985S","1984-1985",30,36,40,44
"1985F","1985-1986",31,38,42,46
"1986S","1985-1986",32,38,42,46
"1986F","1986-1987",33,40,44,48
"1987S","1986-1987",34,40,44,48
"1987F","1987-1988",35,42,46,50
"1988S","1987-1988",36,42,46,50
"1988F","1988-1989",37,44,48,52
"1989S","1988-1989",38,44,48,52
"1989F","1989-1990",39,46,50,54
"1990S","1989-1990",40,46,50,54
"1990F","1990-1991",41,48,52,56
"1991S","1990-1991",42,48,52,56
"1991F","1991-1992",43,50,54,58
"1992S","1991-1992",44,50,54,58
"1992F","1992-1993",45,52,56,60
"1993S","1992-1993",46,52,56,60
"1993F","1993-1994",47,54,58,62
"1994S","1993-1994",48,54,58,62
"1994F","1994-1995",49,56,60,64
"1995S","1994-1995",50,56,60,64
"1995F","1995-1996",51,58,62,66
"1996S","1995-1996",52,58,62,66
"1996F","1996-1997",53,60,64,68
"1997S","1996-1997",54,60,64,68
"1997F","1997-1998",55,62,66,70
"1998S","1997-1998",56,62,66,70
"1998F","1998-1999",57,64,68,72
"1999S","1998-1999",58,64,68,72
"1999F","1999-2000",59,66,70,74
"2000S","1999-2000",60,66,70,74
"2000F","2000-2001",61,68,72,76
"2001S","2000-2001",62,68,72,76
"2001F","2001-2002",63,70,74,78
"2002S","2001-2002",64,70,74,78
"2002F","2002-2003",65,72,76,80
"2003S","2002-2003",66,72,76,80
"2003F","2003-2004",67,74,78,82
"2004S","2003-2004",68,74,78,82
"2004F","2004-2005",69,76,80,84
"2005S","2004-2005",70,76,80,84
"2005F","2005-2006",71,78,82,86
"2006S","2005-2006",72,78,82,86
"2006F","2006-2007",73,80,84,88
"2007S","2006-2007",74,80,84,88
"2007F","2007-2008",75,82,86,90
"2008S","2007-2008",76,82,86,90
"2008F","2008-2009",77,84,88,92
"2009S","2008-2009",78,84,88,92
"2009F","2009-2010",79,86,90,94
"2010S","2009-2010",80,86,90,94
"2010F","2010-2011",81,88,92,96
"2011S","2010-2011",82,88,92,96
"2011F","2011-2012",83,90,94,98
"2012S","2011-2012",84,90,94,98
"2012F","2012-2013",85,92,96,100
"2013S","2012-2013",86,92,96,100
"2013F","2013-2014",87,94,98,102
"2014S","2013-2014",88,94,98,102
"2014F","2014-2015",89,96,100,104
"2015S","2014-2015",90,96,100,104
"2015F","2015-2016",91,98,102,106
"2016S","2015-2016",92,98,102,106
"2016F","2016-2017",93,100,104,108
"2017S","2016-2017",94,100,104,108
"2017F","2017-2018",95,102,106,110
"2018S","2017-2018",96,102,106,110
"2018F","2018-2019",97,104,108,112
"2019S","2018-2019",98,104,108,112
"2019F","2019-2020",99,106,110,114
"2020S","2019-2020",100,106,110,114
"2020F","2020-2021",101,108,112,116
"2021S","2020-2021",102,108,112,116
"2021F","2021-2022",103,110,114,118
"2022S","2021-2022",104,110,114,118
"2022F","2022-2023",105,112,116,120
"2023S","2022-2023",106,112,116,120
"2023F","2023-2024",107,114,118,122
"2024S","2023-2024",108,114,118,122
"2024F","2024-2025",109,116,120,124
"2025S","2024-2025",110,116,120,124
"2025F","2025-2026",111,118,122,126
"2026S","2025-2026",112,118,122,126
"2026F","2026-2027",113,120,124,128
"2027S","2026-2027",114,120,124,128
"2027F","2027-2028",115,122,126,130
"2028S","2027-2028",116,122,126,130
"2028F","2028-2029",117,124,128,132
"2029S","2028-2029",118,124,128,132
"2029F","2029-2030",119,126,130,134
"2030S","2029-2030",120,126,130,134
"2030F","2030-2031",121,128,132,136
"2031S","2030-2031",122,128,132,136
"2031F","2031-2032",123,130,134,138
"2032S","2031-2032",124,130,134,138
"2032F","2032-2033",125,132,136,140
"2033S","2032-2033",126,132,136,140
"2033F","2033-2034",127,134,138,142
"2034S","2033-2034",128,134,138,142
"2034F","2034-2035",129,136,140,144
"2035S","2034-2035",130,136,140,144
"2035F","2035-2036",131,138,142,146
"2036S","2035-2036",132,138,142,146
"2036F","2036-2037",133,140,144,148
"2037S","2036-2037",134,140,144,148
"2037F","2037-2038",135,142,146,150
"2038S","2037-2038",136,142,146,150
"2038F","2038-2039",137,144,148,152
"2039S","2038-2039",138,144,148,152
"2039F","2039-2040",139,146,150,154
"2040S","2039-2040",140,146,150,154
"2040F","2040-2041",141,148,152,156
"2041S","2040-2041",142,148,152,156
"2041F","2041-2042",143,150,154,158
"2042S","2041-2042",144,150,154,158
"2042F","2042-2043",145,152,156,160
"2043S","2042-2043",146,152,156,160
"2043F","2043-2044",147,154,158,162
"2044S","2043-2044",148,154,158,162
"2044F","2044-2045",149,156,160,164
"2045S","2044-2045",150,156,160,164
"2045F","2045-2046",151,158,162,166
"2046S","2045-2046",152,158,162,166
"2046F","2046-2047",153,160,164,168
"2047S","2046-2047",154,160,164,168
"2047F","2047-2048",155,162,166,170
"2048S","2047-2048",156,162,166,170
"2048F","2048-2049",157,164,168,172
"2049S","2048-2049",158,164,168,172
"2049F","2049-2050",159,166,170,174
"2050S","2049-2050",160,166,170,174
"2050F","2050-2051",161,168,172,176
